Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Ivan Saponjic,Atlético de Madrid,24,attack,Serbia,1080000.0,1,La Liga
Giacomo Calò,Benevento Calcio,24,midfield,Italy,1080000.0,1,Serie A
Houboulang Mendes,FC Lorient,23,Defender,France,1080000.0,1,Ligue 1
Igor Silva,FC Lorient,24,Defender,Brazil,1080000.0,5,Ligue 1
Marvin Zeegelaar,Udinese Calcio,31,Defender,Netherlands,1080000.0,1,Serie A
Vincent Le Goff,FC Lorient,31,Defender,France,1080000.0,1,Ligue 1
Nicolò Fagioli,Juventus FC,20,midfield,Italy,1080000.0,2,Serie A
Mickaël Le Bihan,Dijon FCO,31,attack,France,1080000.0,3,Ligue 1
Roberto Soldado,Levante UD,36,attack,Spain,1080000.0,2,La Liga
Nick Woltemade,SV Werder Bremen,19,attack,Germany,1080000.0,2,Bundesliga
Sergio León,Levante UD,32,attack,Spain,1080000.0,1,La Liga
Jimmy Briand,FC Girondins Bordeaux,36,attack,France,990000.0,1,Ligue 1
Mads Pedersen,FC Augsburg,24,Defender,Denmark,990000.0,3,Bundesliga
Assane Dioussé,AS Saint-Étienne,23,midfield,Senegal,990000.0,1,Ligue 1
Enzo Millot,VfB Stuttgart,19,midfield,France,900000.0,4,Bundesliga
Pasquale Schiattarella,Parma Calcio 1913,34,midfield,Italy,900000.0,2,Serie A
Kiko Olivas,Real Valladolid CF,32,Defender,Spain,900000.0,1,La Liga
Destiny Udogie,Udinese Calcio,18,Defender,Italy,900000.0,1,Serie A
Ryder Matos,Udinese Calcio,28,attack,Brazil,900000.0,1,Serie A
Matías Dituro,Celta de Vigo,34,Goalkeeper,Argentina,900000.0,1,La Liga
Wayne Hennessey,Burnley FC,34,Goalkeeper,Wales,900000.0,2,Premier League
David Button,West Bromwich Albion,32,Goalkeeper,England,900000.0,1,Premier League
Andrea Ranocchia,Inter Milan,33,Defender,Italy,900000.0,1,Serie A
Lilian Egloff,VfB Stuttgart,18,midfield,Germany,900000.0,3,Bundesliga
Fernando Llorente,Udinese Calcio,36,attack,Spain,900000.0,1,Serie A
Mohamed Sankoh,VfB Stuttgart,17,attack,Netherlands,900000.0,2,Bundesliga
Emrehan Gedikli,Bayer 04 Leverkusen,18,attack,Germany,900000.0,1,Bundesliga
Ömer Beyaz,VfB Stuttgart,17,midfield,Turkey,900000.0,4,Bundesliga
Dimitri Liénard,RC Strasbourg Alsace,33,midfield,France,900000.0,2,Ligue 1
Jose Fontán,Celta de Vigo,21,Defender,Spain,900000.0,4,La Liga
Darko Churlinov,VfB Stuttgart,21,attack,North Macedonia,900000.0,3,Bundesliga
Daniel Jebbison,Sheffield United,18,attack,Canada,900000.0,2,Premier League
Diego González,Elche CF,26,Defender,Spain,900000.0,1,La Liga
Ignasi Miquel,Getafe CF,28,Defender,Spain,900000.0,2,La Liga
Bruno González,Real Valladolid CF,31,Defender,Spain,900000.0,1,La Liga
Andri Fannar Baldursson,Bologna FC 1909,19,midfield,Iceland,900000.0,4,Serie A
Dani Escriche,SD Huesca,23,attack,Spain,900000.0,1,La Liga
Clinton Mola,VfB Stuttgart,20,midfield,England,900000.0,3,Bundesliga
David Ferreiro,SD Huesca,33,attack,Spain,900000.0,2,La Liga
João Virgínia,Everton FC,21,Goalkeeper,Portugal,900000.0,3,Premier League
Gianmarco Cangiano,Bologna FC 1909,19,attack,Italy,900000.0,3,Serie A
Julio Buffarini,SD Huesca,32,Defender,Argentina,900000.0,2,La Liga
Fabian Kunze,Arminia Bielefeld,23,midfield,Germany,900000.0,1,Bundesliga
Josema,Elche CF,25,Defender,Spain,900000.0,2,La Liga
Helibelton Palacios,Elche CF,28,Defender,Colombia,900000.0,1,La Liga
Dante,OGC Nice,37,Defender,Brazil,900000.0,1,Ligue 1
Tom Heaton,Manchester United,35,Goalkeeper,England,900000.0,2,Premier League
Abdoulaye Kamara,Borussia Dortmund,16,midfield,Guinea,900000.0,fail,Bundesliga
Gary Medel,Bologna FC 1909,34,midfield,Chile,900000.0,1,Serie A
Gianluigi Buffon,Parma Calcio 1913,43,Goalkeeper,Italy,900000.0,2,Serie A
Daan Dierckx,Parma Calcio 1913,18,Defender,Belgium,900000.0,4,Serie A
Charly Musonda Jr.,Chelsea FC,24,midfield,Belgium,900000.0,1,Premier League
Gaëtan Poussin,FC Girondins Bordeaux,22,Goalkeeper,France,900000.0,2,Ligue 1
Kike Pérez,Real Valladolid CF,24,midfield,Spain,900000.0,4,La Liga
Paul Baysse,FC Girondins Bordeaux,33,Defender,France,900000.0,3,Ligue 1
Josan,Elche CF,31,attack,Spain,900000.0,1,La Liga
Ricardo Mangas,FC Girondins Bordeaux,23,Defender,Portugal,900000.0,1,Ligue 1
Raoul Bellanova,FC Girondins Bordeaux,21,Defender,Italy,900000.0,1,Ligue 1
Martín Satriano,Inter Milan,20,attack,Uruguay,900000.0,3,Serie A
Kevin Long,Burnley FC,30,Defender,Ireland,900000.0,2,Premier League
Kenan Kodro,Athletic Bilbao,27,attack,Bosnia-Herzegovina,900000.0,1,La Liga
Jorge Pombo,Cádiz CF,27,midfield,Spain,900000.0,2,La Liga
Brian Oddei,US Sassuolo,18,attack,Italy,900000.0,3,Serie A
Ashley Young,Aston Villa,36,Defender,England,900000.0,1,Premier League
Sebastian Griesbeck,1.FC Union Berlin,30,midfield,Germany,900000.0,1,Bundesliga
Kelechi Nwakali,SD Huesca,23,midfield,Nigeria,900000.0,1,La Liga
Cédric Kipré,West Bromwich Albion,24,Defender,Cote d'Ivoire,900000.0,3,Premier League
Aarón Escandell,Granada CF,25,Goalkeeper,Spain,900000.0,2,La Liga
Aurélien Scheidler,Dijon FCO,23,attack,France,900000.0,3,Ligue 1
Marvin Schwäbe,1. FC Köln,26,Goalkeeper,Germany,900000.0,3,Bundesliga
Alexandru Dobre,Dijon FCO,22,attack,Romania,900000.0,3,Ligue 1
Anaitz Arbilla,SD Eibar,34,Defender,Spain,900000.0,2,La Liga
Patryk Dziczek,SS Lazio,23,midfield,Poland,900000.0,3,Serie A
Christopher Rocchia,Dijon FCO,23,Defender,France,900000.0,2,Ligue 1
Senou Coulibaly,Dijon FCO,26,Defender,Mali,900000.0,2,Ligue 1
Anastasios Donis,Stade Reims,24,attack,Greece,900000.0,3,Ligue 1
Álvaro Tejero,SD Eibar,25,Defender,Spain,900000.0,3,La Liga
Ilan Kebbal,Stade Reims,23,midfield,France,900000.0,3,Ligue 1
Óscar Sielva,SD Eibar,30,midfield,Spain,900000.0,3,La Liga
Stoichkov,SD Eibar,27,midfield,Spain,900000.0,3,La Liga
Yanis Rahmani,SD Eibar,26,attack,France,900000.0,4,La Liga
José Corpas,SD Eibar,30,attack,Spain,900000.0,3,La Liga
Simon Terodde,FC Schalke 04,33,attack,Germany,900000.0,1,Bundesliga
Daam Foulon,Benevento Calcio,22,Defender,Belgium,900000.0,2,Serie A
Fabio Maistro,SS Lazio,23,midfield,Italy,900000.0,1,Serie A
Paul Lasne,Stade Brestois 29,32,midfield,France,900000.0,0,Ligue 1
Fabio Quagliarella,UC Sampdoria,38,attack,Italy,900000.0,1,Serie A
Manolo Portanova,Genoa CFC,21,midfield,Italy,900000.0,3,Serie A
Thomas Fontaine,FC Lorient,30,Defender,Madagascar,900000.0,1,Ligue 1
Adrián,Liverpool FC,34,Goalkeeper,Spain,900000.0,1,Premier League
Jandrei,Genoa CFC,28,Goalkeeper,Brazil,900000.0,fail,Serie A
Ivor Pandur,Hellas Verona,21,Goalkeeper,Croatia,900000.0,4,Serie A
Anderson Lucoqui,1.FSV Mainz 05,24,Defender,Angola,900000.0,3,Bundesliga
Neeskens Kebano,Fulham FC,29,attack,DR Congo,900000.0,1,Premier League
Marc-Aurèle Caillard,FC Metz,27,Goalkeeper,France,900000.0,1,Ligue 1
Alan Empereur,Hellas Verona,27,Defender,Brazil,900000.0,1,Serie A
Gaëtan Paquiez,Nîmes Olympique,27,Defender,France,900000.0,1,Ligue 1
Pablo Martinez,Nîmes Olympique,32,Defender,France,900000.0,1,Ligue 1
Kristoffer Askildsen,UC Sampdoria,20,midfield,Norway,900000.0,3,Serie A
Cheikh Sabaly,FC Metz,22,attack,Senegal,900000.0,1,Ligue 1
Alberto Paleari,Benevento Calcio,28,Goalkeeper,Italy,900000.0,1,Serie A
Gabriele Moncini,Benevento Calcio,25,attack,Italy,900000.0,2,Serie A
Mattéo Ahlinvi,Dijon FCO,22,midfield,Benin,900000.0,3,Ligue 1
Stefan Bajic,AS Saint-Étienne,19,Goalkeeper,France,900000.0,1,Ligue 1
Mateo Pavlovic,SCO Angers,31,Defender,Croatia,900000.0,2,Ligue 1
Musa Juwara,FC Crotone,19,attack,The Gambia,900000.0,1,Serie A
Bilal Benkhedim,AS Saint-Étienne,20,midfield,France,900000.0,1,Ligue 1
Jonás Ramalho,CA Osasuna,28,Defender,Angola,900000.0,1,La Liga
Dynel Simeu,Southampton FC,19,Defender,England,900000.0,3,Premier League
Thomas Mangani,SCO Angers,34,midfield,France,900000.0,1,Ligue 1
Lasse Günther,FC Augsburg,18,attack,Germany,900000.0,4,Bundesliga
Ismaël Traoré,SCO Angers,34,Defender,Cote d'Ivoire,900000.0,1,Ligue 1
Noah Joel Sarenren Bazee,FC Augsburg,24,attack,Nigeria,900000.0,3,Bundesliga
Ralf Fährmann,FC Schalke 04,32,Goalkeeper,Germany,900000.0,4,Bundesliga
Enzo Ebosse,SCO Angers,22,Defender,France,900000.0,2,Ligue 1
Luca Vignali,Spezia Calcio,25,Defender,Italy,900000.0,2,Serie A
Dimitry Bertaud,Montpellier HSC,23,Goalkeeper,France,900000.0,1,Ligue 1
Víctor Díaz,Granada CF,33,Defender,Spain,900000.0,1,La Liga
Claudio Bravo,Real Betis Balompié,38,Goalkeeper,Chile,900000.0,1,La Liga
Alessandro Deiola,Cagliari Calcio,26,midfield,Italy,900000.0,1,Serie A
Henrique,Olympique Lyon,27,Defender,Brazil,855000.0,3,Ligue 1
Jessy Pi,Dijon FCO,27,midfield,France,810000.0,2,Ligue 1
Jean-Claude Billong,Benevento Calcio,27,Defender,Cameroon,810000.0,1,Serie A
Deiver Machado,RC Lens,27,Defender,Colombia,810000.0,3,Ligue 1
Andreas Luthe,1.FC Union Berlin,34,Goalkeeper,Germany,810000.0,fail,Bundesliga
Yoel Rodríguez,SD Eibar,32,Goalkeeper,Spain,810000.0,3,La Liga
Fernando Forestieri,Udinese Calcio,31,attack,Italy,810000.0,1,Serie A
Jean Onana,LOSC Lille,21,midfield,Cameroon,810000.0,4,Ligue 1
Antonio Sivera,Deportivo Alavés,25,Goalkeeper,Spain,810000.0,1,La Liga
Filippo Melegoni,Genoa CFC,22,midfield,Italy,810000.0,1,Serie A
Elio Capradossi,Spezia Calcio,25,Defender,Italy,810000.0,2,Serie A
Miguel Veloso,Hellas Verona,35,midfield,Portugal,810000.0,1,Serie A
Luis Binks,Bologna FC 1909,19,Defender,England,810000.0,3,Serie A
Sven Ulreich,Bayern Munich,33,Goalkeeper,Germany,810000.0,1,Bundesliga
Marco Tumminello,Atalanta BC,22,attack,Italy,810000.0,1,Serie A
Varazdat Haroyan,Cádiz CF,28,Defender,Armenia,810000.0,2,La Liga
Luis Pérez,Real Valladolid CF,26,Defender,Spain,810000.0,2,La Liga
Jean-Philippe Krasso,AS Saint-Étienne,24,attack,France,810000.0,2,Ligue 1
Giuseppe Cuomo,FC Crotone,23,Defender,Italy,810000.0,1,Serie A
Rober Correa,SD Eibar,28,Defender,Spain,810000.0,3,La Liga
Dani Raba,Villarreal CF,25,attack,Spain,810000.0,2,La Liga
Michael Verrips,Sheffield United,24,Goalkeeper,Netherlands,810000.0,2,Premier League
Kastriot Dermaku,Parma Calcio 1913,29,Defender,Albania,810000.0,3,Serie A
Kevin Behrens,1.FC Union Berlin,30,attack,Germany,810000.0,2,Bundesliga
Nicola Zalewski,AS Roma,19,midfield,Poland,810000.0,3,Serie A
Alessio Riccardi,AS Roma,20,midfield,Italy,810000.0,2,Serie A
Samuele Mulattieri,FC Crotone,20,attack,Italy,765000.0,1,Serie A
Cedric Gondo,SS Lazio,24,attack,Cote d'Ivoire,765000.0,2,Serie A
David Costa,RC Lens,20,midfield,Portugal,720000.0,3,Ligue 1
Manuel De Luca,UC Sampdoria,23,attack,Italy,720000.0,4,Serie A
Tachi,Deportivo Alavés,23,Defender,Spain,720000.0,2,La Liga
Ager Aketxe,SD Eibar,27,midfield,Spain,720000.0,2,La Liga
Vito Mannone,AS Monaco,33,Goalkeeper,Italy,720000.0,1,Ligue 1
Andrea Masiello,Genoa CFC,35,Defender,Italy,720000.0,1,Serie A
Tom Lacoux,FC Girondins Bordeaux,19,midfield,France,720000.0,3,Ligue 1
Fabien Lemoine,FC Lorient,34,midfield,France,720000.0,1,Ligue 1
Gustavo Blanco Leschuk,SD Eibar,29,attack,Argentina,720000.0,1,La Liga
Simone Iacoponi,Parma Calcio 1913,34,Defender,Italy,720000.0,2,Serie A
Karim Aribi,Nîmes Olympique,27,attack,Algeria,720000.0,3,Ligue 1
Jean-Louis Leca,RC Lens,35,Goalkeeper,France,720000.0,1,Ligue 1
Rémy Descamps,FC Nantes,25,Goalkeeper,France,720000.0,3,Ligue 1
John Ruddy,Wolverhampton Wanderers,34,Goalkeeper,England,720000.0,1,Premier League
Kevin Vázquez,Celta de Vigo,28,Defender,Spain,720000.0,2,La Liga
Iván Martín,Deportivo Alavés,22,midfield,Spain,720000.0,1,La Liga
Steven Fortes,RC Lens,29,Defender,Cape Verde,720000.0,1,Ligue 1
Botond Balogh,Parma Calcio 1913,19,Defender,Hungary,720000.0,4,Serie A
Moïse Sahi Dion,RC Strasbourg Alsace,19,attack,Cote d'Ivoire,720000.0,4,Ligue 1
Quique González,SD Eibar,31,attack,Spain,720000.0,3,La Liga
Jaume Grau,CA Osasuna,24,midfield,Spain,720000.0,1,La Liga
Fran Sol,SD Eibar,29,attack,Spain,720000.0,1,La Liga
Jordan Marié,Dijon FCO,29,midfield,France,720000.0,1,Ligue 1
Dion Lopy,Stade Reims,19,midfield,Senegal,720000.0,2,Ligue 1
Naomichi Ueda,Nîmes Olympique,26,Defender,Japan,720000.0,2,Ligue 1
Carlos Akapo,Cádiz CF,28,Defender,Equatorial Guinea,720000.0,1,La Liga
Alpha Sissoko,AS Saint-Étienne,24,Defender,France,720000.0,1,Ligue 1
Sékou Mara,FC Girondins Bordeaux,19,attack,France,720000.0,2,Ligue 1
Kiko Casilla,Elche CF,34,Goalkeeper,Spain,720000.0,1,La Liga
Gonzalo Verdú,Elche CF,32,Defender,Spain,720000.0,2,La Liga
Bingourou Kamara,RC Strasbourg Alsace,24,Goalkeeper,Senegal,720000.0,2,Ligue 1
Antonio Barragán,Elche CF,34,Defender,Spain,720000.0,1,La Liga
Molla Wagué,FC Nantes,30,Defender,Mali,720000.0,1,Ligue 1
Cheick Traoré,Dijon FCO,26,Defender,Mali,720000.0,3,Ligue 1
Cheikh Niasse,LOSC Lille,21,midfield,France,720000.0,2,Ligue 1
Ramon Azeez,Granada CF,28,midfield,Nigeria,720000.0,1,La Liga
Xabi Etxeita,SD Eibar,33,Defender,Spain,720000.0,1,La Liga
Germán Sánchez,Granada CF,34,Defender,Spain,720000.0,1,La Liga
Amadou Traoré,FC Girondins Bordeaux,19,attack,France,720000.0,1,Ligue 1
Marcin Bulka,OGC Nice,21,Goalkeeper,Poland,720000.0,1,Ligue 1
Toño García,SD Eibar,31,Defender,Spain,720000.0,1,La Liga
Kaique Rocha,UC Sampdoria,20,Defender,Brazil,720000.0,3,Serie A
David Gil,Cádiz CF,27,Goalkeeper,Spain,720000.0,2,La Liga
Gabriele Corbo,Bologna FC 1909,21,Defender,Italy,720000.0,2,Serie A
Coke,Levante UD,34,Defender,Spain,720000.0,1,La Liga
Cristian Glauder,SD Eibar,25,Defender,Spain,720000.0,2,La Liga
Son,Levante UD,27,Defender,Spain,720000.0,3,La Liga
Enric Franquesa,Levante UD,24,Defender,Spain,720000.0,4,La Liga
Pierrick Capelle,SCO Angers,34,midfield,France,720000.0,1,Ligue 1
Óscar Duarte,Levante UD,32,Defender,Costa Rica,720000.0,1,La Liga
Frederico Venâncio,SD Eibar,28,Defender,Portugal,720000.0,3,La Liga
Martin Palumbo,Udinese Calcio,19,midfield,Norway,720000.0,4,Serie A
Andreas Poulsen,Borussia Mönchengladbach,21,Defender,Denmark,720000.0,2,Bundesliga
Christian Dalle Mura,ACF Fiorentina,19,Defender,Italy,720000.0,2,Serie A
Guilherme Ramos,Arminia Bielefeld,24,Defender,Portugal,720000.0,4,Bundesliga
Chema,Getafe CF,29,Defender,Spain,720000.0,2,La Liga
Makoto Hasebe,Eintracht Frankfurt,37,midfield,Japan,720000.0,1,Bundesliga
Xande Silva,West Ham United,24,attack,Portugal,720000.0,1,Premier League
Pietro Terracciano,ACF Fiorentina,31,Goalkeeper,Italy,720000.0,2,Serie A
Jed Steer,Aston Villa,28,Goalkeeper,England,720000.0,2,Premier League
Federico Fazio,AS Roma,34,Defender,Argentina,720000.0,1,Serie A
Christian Walton,Brighton &amp; Hove Albion,25,Goalkeeper,England,720000.0,1,Premier League
Anthony Jung,SV Werder Bremen,29,Defender,Germany,720000.0,2,Bundesliga
Daniel Maldini,AC Milan,19,midfield,Italy,720000.0,3,Serie A
Pepe Reina,SS Lazio,38,Goalkeeper,Spain,720000.0,1,Serie A
Daniel Brosinski,1.FSV Mainz 05,33,Defender,Germany,720000.0,1,Bundesliga
Giorgi Mamardashvili,Valencia CF,20,Goalkeeper,Georgia,720000.0,1,La Liga
Raúl Moro,SS Lazio,18,attack,Spain,720000.0,1,Serie A
Daniel Fuzato,AS Roma,24,Goalkeeper,Brazil,720000.0,2,Serie A
Kingsley Schindler,1. FC Köln,28,attack,Germany,720000.0,2,Bundesliga
Benno Schmitz,1. FC Köln,26,Defender,Germany,720000.0,1,Bundesliga
Jason Steele,Brighton &amp; Hove Albion,30,Goalkeeper,England,720000.0,2,Premier League
Michael Zetterer,SV Werder Bremen,26,Goalkeeper,Germany,720000.0,1,Bundesliga
Joshua Brenet,TSG 1899 Hoffenheim,27,Defender,Netherlands,720000.0,1,Bundesliga
Álex Petxa,Athletic Bilbao,24,Defender,Spain,720000.0,3,La Liga
Fabian Klos,Arminia Bielefeld,33,attack,Germany,720000.0,1,Bundesliga
Vanja Milinković-Savić,Torino FC,24,Goalkeeper,Serbia,720000.0,3,Serie A
Christian Gebauer,Arminia Bielefeld,27,attack,Austria,720000.0,2,Bundesliga
Soufiane Chakla,Villarreal CF,27,Defender,Morocco,720000.0,1,La Liga
Paul Nebel,1.FSV Mainz 05,18,attack,Germany,720000.0,3,Bundesliga
Anthony Ujah,1.FC Union Berlin,30,attack,Nigeria,720000.0,1,Bundesliga
Peter Pekarik,Hertha BSC,34,Defender,Slovakia,720000.0,1,Bundesliga
Simone Scuffet,Udinese Calcio,25,Goalkeeper,Italy,720000.0,1,Serie A
Mehmet Aydin,FC Schalke 04,19,midfield,Germany,720000.0,1,Bundesliga
Victor Pálsson,FC Schalke 04,30,midfield,Iceland,720000.0,2,Bundesliga
Dries Wouters,FC Schalke 04,24,midfield,Belgium,720000.0,3,Bundesliga
Marcin Kaminski,FC Schalke 04,29,Defender,Poland,720000.0,2,Bundesliga
Sidney Raebiger,RB Leipzig,16,midfield,Germany,675000.0,3,Bundesliga
Elías Már Ómarsson,Nîmes Olympique,26,attack,Iceland,675000.0,3,Ligue 1
Damir Ceter,Cagliari Calcio,23,attack,Colombia,675000.0,1,Serie A
Julien Serrano,AS Monaco,23,Defender,France,675000.0,1,Ligue 1
Fabio Blanco,Eintracht Frankfurt,17,attack,Spain,675000.0,2,Bundesliga
Soumaïla Coulibaly,Borussia Dortmund,17,Defender,France,675000.0,3,Bundesliga
Tom Bischof,TSG 1899 Hoffenheim,16,midfield,Germany,675000.0,1,Bundesliga
Andrés Tello,Benevento Calcio,24,midfield,Colombia,675000.0,1,Serie A
Federico Mattiello,Atalanta BC,26,Defender,Italy,675000.0,1,Serie A
Tomas Ostrak,1. FC Köln,21,midfield,Czech Republic,675000.0,1,Bundesliga
Samuel Moutoussamy,FC Nantes,25,midfield,DR Congo,675000.0,3,Ligue 1
Lukasz Teodorczyk,Udinese Calcio,30,attack,Poland,675000.0,1,Serie A
Stefanos Kapino,Arminia Bielefeld,27,Goalkeeper,Greece,630000.0,2,Bundesliga
Vasile Mogos,FC Crotone,28,Defender,Romania,630000.0,3,Serie A
Javi Muñoz,SD Eibar,26,midfield,Spain,630000.0,2,La Liga
Roberto,Real Valladolid CF,35,Goalkeeper,Spain,630000.0,2,La Liga
Riza Durmisi,SS Lazio,27,Defender,Denmark,630000.0,2,Serie A
Marcel Schmelzer,Borussia Dortmund,33,Defender,Germany,630000.0,1,Bundesliga
Emre Mor,Celta de Vigo,24,attack,Turkey,630000.0,1,La Liga
Saúl García,Deportivo Alavés,26,Defender,Spain,630000.0,2,La Liga
Magnus Warming,Torino FC,21,attack,Denmark,630000.0,3,Serie A
Romain Philippoteaux,Stade Brestois 29,33,attack,France,630000.0,1,Ligue 1
Bamba Dieng,Olympique Marseille,21,attack,Senegal,630000.0,fail,Ligue 1
Pedro Mosquera,SD Huesca,33,midfield,Spain,630000.0,1,La Liga
Florian Flick,FC Schalke 04,21,midfield,Germany,630000.0,2,Bundesliga
Niklas Tauer,1.FSV Mainz 05,20,midfield,Germany,630000.0,2,Bundesliga
Niklas Hauptmann,1. FC Köln,25,midfield,Germany,630000.0,2,Bundesliga
Sebastien De Maio,Udinese Calcio,34,Defender,France,630000.0,1,Serie A
Oier,CA Osasuna,35,midfield,Spain,630000.0,1,La Liga
Roberto Olabe,SD Eibar,25,midfield,Spain,630000.0,2,La Liga
Frederik Winther,FC Augsburg,20,Defender,Denmark,630000.0,4,Bundesliga
Emmanuel Rivière,FC Crotone,31,attack,Martinique,630000.0,1,Serie A
Jacopo Da Riva,Atalanta BC,20,midfield,Italy,630000.0,3,Serie A
Ante Coric,AS Roma,24,midfield,Croatia,630000.0,2,Serie A
Rayan Philippe,Dijon FCO,20,attack,France,630000.0,1,Ligue 1
Marco Carraro,Atalanta BC,23,midfield,Italy,630000.0,1,Serie A
Francesco Bardi,Bologna FC 1909,29,Goalkeeper,Italy,630000.0,1,Serie A
Dilane Bakwa,FC Girondins Bordeaux,18,attack,France,630000.0,1,Ligue 1
Jacob Barrett Laursen,Arminia Bielefeld,26,Defender,Denmark,630000.0,2,Bundesliga
Vincent Koziello,1. FC Köln,25,midfield,France,630000.0,1,Bundesliga
Hugo Magnetti,Stade Brestois 29,23,midfield,France,630000.0,3,Ligue 1
Danijel Petkovic,SCO Angers,28,Goalkeeper,Montenegro,630000.0,1,Ligue 1
Nicolai Rapp,SV Werder Bremen,24,midfield,Germany,630000.0,3,Bundesliga
Petar Skuletic,Montpellier HSC,31,attack,Serbia,630000.0,0,Ligue 1
Valentin Jacob,Dijon FCO,27,midfield,France,630000.0,3,Ligue 1
Martin Fraisl,FC Schalke 04,28,Goalkeeper,Austria,630000.0,1,Bundesliga
Miguel San Román,SD Huesca,24,Goalkeeper,Spain,630000.0,2,La Liga
Oliver Kragl,Benevento Calcio,31,midfield,Germany,630000.0,1,Serie A
Tobias Raschl,Borussia Dortmund,21,midfield,Germany,630000.0,1,Bundesliga
Per Kristian Bratveit,Nîmes Olympique,25,Goalkeeper,Norway,630000.0,1,Ligue 1
Michele Cerofolini,ACF Fiorentina,22,Goalkeeper,Italy,630000.0,2,Serie A
Rey Manaj,FC Barcelona,24,attack,Albania,630000.0,2,La Liga
Jaroslaw Jach,Crystal Palace,27,Defender,Poland,585000.0,1,Premier League
Nehuén Paz,Bologna FC 1909,28,Defender,Argentina,585000.0,1,Serie A
Zan Celar,AS Roma,22,attack,Slovenia,585000.0,2,Serie A
Nathan de Medina,Arminia Bielefeld,23,Defender,Belgium,585000.0,2,Bundesliga
Maurice Malone,FC Augsburg,20,midfield,Germany,585000.0,3,Bundesliga
Vincent Laurini,Parma Calcio 1913,32,Defender,France,540000.0,2,Serie A
Bobby Adekanye,SS Lazio,22,attack,Netherlands,540000.0,1,Serie A
Emanuele Cicerelli,SS Lazio,27,attack,Italy,540000.0,2,Serie A
Joaquín Muñoz,SD Huesca,22,attack,Spain,540000.0,2,La Liga
Raúl Carnero,Real Valladolid CF,32,Defender,Spain,540000.0,2,La Liga
Lucas Dias,Nîmes Olympique,22,Goalkeeper,France,540000.0,3,Ligue 1
Koba Koindredi,Valencia CF,19,midfield,Neukaledonien,540000.0,4,La Liga
Pablo Martínez,Levante UD,23,midfield,Spain,540000.0,3,La Liga
Ciprian Tatarusanu,AC Milan,35,Goalkeeper,Romania,540000.0,2,Serie A
Andrés Fernández,SD Huesca,34,Goalkeeper,Spain,540000.0,2,La Liga
Simone Colombi,Parma Calcio 1913,30,Goalkeeper,Italy,540000.0,1,Serie A
Gabriel Brazão,Inter Milan,20,Goalkeeper,Brazil,540000.0,3,Serie A
Franchu,SD Eibar,23,attack,Argentina,540000.0,3,La Liga
Juan Pérez,CA Osasuna,25,Goalkeeper,Spain,540000.0,3,La Liga
Miguel Atienza,SD Eibar,22,midfield,Spain,540000.0,2,La Liga
Adam Jakubech,LOSC Lille,24,Goalkeeper,Slovakia,540000.0,4,Ligue 1
Dani Cárdenas,Levante UD,24,Goalkeeper,Spain,540000.0,1,La Liga
Iñigo Pérez,CA Osasuna,33,midfield,Spain,540000.0,1,La Liga
Christopher Wooh,RC Lens,19,Defender,France,540000.0,4,Ligue 1
Denis Odoi,Fulham FC,33,Defender,Belgium,540000.0,1,Premier League
Hugo Ekitike,Stade Reims,19,attack,France,540000.0,2,Ligue 1
Julian Pollersbeck,Olympique Lyon,27,Goalkeeper,Germany,540000.0,3,Ligue 1
Jon Ander Garrido,Cádiz CF,31,midfield,Spain,540000.0,2,La Liga
Pavao Pervan,VfL Wolfsburg,33,Goalkeeper,Austria,540000.0,1,Bundesliga
Christian Früchtl,Bayern Munich,21,Goalkeeper,Germany,540000.0,1,Bundesliga
Ron-Thorben Hoffmann,Bayern Munich,22,Goalkeeper,Germany,540000.0,1,Bundesliga
Mattia Sprocati,Parma Calcio 1913,28,attack,Italy,540000.0,2,Serie A
Álvaro Jiménez,Cádiz CF,26,attack,Spain,540000.0,4,La Liga
Tim Ream,Fulham FC,33,Defender,United States,540000.0,1,Premier League
Matthieu Dreyer,FC Lorient,32,Goalkeeper,France,540000.0,2,Ligue 1
Fabri,Fulham FC,33,Goalkeeper,Spain,540000.0,0,Premier League
Javi López,Deportivo Alavés,19,Defender,Spain,540000.0,2,La Liga
Quentin Lecoeuche,FC Lorient,27,Defender,France,495000.0,1,Ligue 1
Luca Plogmann,SV Werder Bremen,21,Goalkeeper,Germany,495000.0,1,Bundesliga
Zinédine Machach,SSC Napoli,25,midfield,France,495000.0,1,Serie A
Hiroki Ito,VfB Stuttgart,22,Defender,Japan,495000.0,1,Bundesliga
Alexis Flips,Stade Reims,21,attack,France,473000.0,3,Ligue 1
Eren Dinkci,SV Werder Bremen,19,attack,Germany,450000.0,1,Bundesliga
Benjamin Uphoff,SC Freiburg,28,Goalkeeper,Germany,450000.0,fail,Bundesliga
Jonas Michelbrink,Hertha BSC,20,midfield,Germany,450000.0,1,Bundesliga
Ander Cantero,SD Eibar,26,Goalkeeper,Spain,450000.0,3,La Liga
Gabriele Ferrarini,ACF Fiorentina,21,Defender,Italy,450000.0,2,Serie A
Andrea Rispoli,FC Crotone,32,midfield,Italy,450000.0,1,Serie A
Mathías Suárez,Montpellier HSC,25,Defender,Uruguay,450000.0,2,Ligue 1
Mickaël Nade,AS Saint-Étienne,22,Defender,France,450000.0,1,Ligue 1
Levent Mercan,FC Schalke 04,20,midfield,Germany,450000.0,2,Bundesliga
